method,prediction_year,historical_year,weight,temperature_shift_c,monthly_hdd_f_days,payout_usd
expanding,2023,2005,0.043478260869565216,0.0,248.52000000000004,1371.0000000000093
expanding,2023,2006,0.043478260869565216,0.0,285.72,5091.000000000008
expanding,2023,2007,0.043478260869565216,0.0,129.57,0.0
expanding,2023,2008,0.043478260869565216,0.0,281.58,4677.000000000004
expanding,2023,2009,0.043478260869565216,0.0,290.28000000000003,5547.000000000008
expanding,2023,2010,0.043478260869565216,0.0,203.88,0.0
expanding,2023,2011,0.043478260869565216,0.0,234.80999999999995,0.0
expanding,2023,2012,0.043478260869565216,0.0,199.29000000000002,0.0
expanding,2023,2013,0.043478260869565216,0.0,192.65999999999997,0.0
expanding,2023,2014,0.043478260869565216,0.0,181.58999999999997,0.0
expanding,2023,2015,0.043478260869565216,0.0,229.11,0.0
expanding,2023,2016,0.043478260869565216,0.0,206.78999999999996,0.0
expanding,2023,2017,0.043478260869565216,0.0,119.28000000000002,0.0
expanding,2023,2018,0.043478260869565216,0.0,270.84,3603.0000000000027
expanding,2023,2019,0.043478260869565216,0.0,193.38,0.0
expanding,2023,2020,0.043478260869565216,0.0,217.41000000000003,0.0
expanding,2023,2021,0.043478260869565216,0.0,94.08,0.0
expanding,2023,2022,0.043478260869565216,0.0,248.91000000000003,1410.000000000008
recent_10,2023,2013,0.1,0.0,192.65999999999997,0.0
recent_10,2023,2014,0.1,0.0,181.58999999999997,0.0
recent_10,2023,2015,0.1,0.0,229.11,0.0
recent_10,2023,2016,0.1,0.0,206.78999999999996,0.0
recent_10,2023,2017,0.1,0.0,119.28000000000002,0.0
recent_10,2023,2018,0.1,0.0,270.84,3603.0000000000027
recent_10,2023,2019,0.1,0.0,193.38,0.0
recent_10,2023,2020,0.1,0.0,217.41000000000003,0.0
recent_10,2023,2021,0.1,0.0,94.08,0.0
recent_10,2023,2022,0.1,0.0,248.91000000000003,1410.000000000008
recent_20,2023,2003,0.05,0.0,303.57,6876.000000000005
recent_20,2023,2004,0.05,0.0,260.64,2583.000000000004
recent_20,2023,2005,0.05,0.0,248.52000000000004,1371.0000000000093
recent_20,2023,2006,0.05,0.0,285.72,5091.000000000008
recent_20,2023,2007,0.05,0.0,129.57,0.0
recent_20,2023,2008,0.05,0.0,281.58,4677.000000000004
recent_20,2023,2009,0.05,0.0,290.28000000000003,5547.000000000008
recent_20,2023,2010,0.05,0.0,203.88,0.0
recent_20,2023,2011,0.05,0.0,234.80999999999995,0.0
recent_20,2023,2012,0.05,0.0,199.29000000000002,0.0
recent_20,2023,2013,0.05,0.0,192.65999999999997,0.0
recent_20,2023,2014,0.05,0.0,181.58999999999997,0.0
recent_20,2023,2015,0.05,0.0,229.11,0.0
recent_20,2023,2016,0.05,0.0,206.78999999999996,0.0
recent_20,2023,2017,0.05,0.0,119.28000000000002,0.0
recent_20,2023,2018,0.05,0.0,270.84,3603.0000000000027
recent_20,2023,2019,0.05,0.0,193.38,0.0
recent_20,2023,2020,0.05,0.0,217.41000000000003,0.0
recent_20,2023,2021,0.05,0.0,94.08,0.0
recent_20,2023,2022,0.05,0.0,248.91000000000003,1410.000000000008
temperature_trend,2023,2000,0.043478260869565216,2.302236070381232,167.247426686217,0.0
temperature_trend,2023,2001,0.043478260869565216,2.202138849929874,166.79070126227205,0.0
temperature_trend,2023,2002,0.043478260869565216,2.1020416294785162,230.52547653958945,0.0
temperature_trend,2023,2003,0.043478260869565216,2.0019444090271583,205.05950146627563,0.0
